site,MAT_C,species,litter_type,topmesh_mm,years_deployed,afdm_remain_per
CPR,8.7,ACSA,litter,1,5.03,41.29
CPR,8.7,ACSA,litter,7,0,100
CPR,8.7,ACSA,litter,7,1.28,70.63
CPR,8.7,ACSA,litter,7,2.02,65.09
CPR,8.7,ANGE,root,0.1,0,100
CPR,8.7,ANGE,root,0.1,1.28,73.12
CPR,8.7,ANGE,root,0.1,2.02,33.41
CPR,8.7,ANGE,root,0.1,3.01,29.97
CPR,8.7,ANGE,root,0.1,4,23
CPR,8.7,ANGE,root,0.1,5.03,27.31
CPR,8.7,ANGE,root,0.1,6,38.05
CPR,8.7,ANGE,root,0.1,6.36,13.51
CPR,8.7,ANGE,root,0.1,8.03,23.12
CPR,8.7,ANGE,root,0.1,9.01,29.71
CPR,8.7,ANGE,root,0.1,10.03,21
CPR,8.7,BOER,litter,1,0,100
CPR,8.7,BOER,litter,1,1.28,92.05
CPR,8.7,CONU,litter,1,0,100
CPR,8.7,CONU,litter,1,5.03,39.48
CPR,8.7,DRGL,root,0.1,0,100
CPR,8.7,DRGL,root,0.1,1.28,80.54
CPR,8.7,DRGL,root,0.1,2.02,53.58
CPR,8.7,DRGL,root,0.1,3.01,47.82
CPR,8.7,DRGL,root,0.1,4,44.19
CPR,8.7,DRGL,root,0.1,5.03,30.3
CPR,8.7,DRGL,root,0.1,6,33.86
CPR,8.7,DRGL,root,0.1,6.36,32.05
CPR,8.7,DRGL,root,0.1,8.03,33.65
CPR,8.7,DRGL,root,0.1,9.01,30
CPR,8.7,DRGL,root,0.1,10.03,25.04
CPR,8.7,DRGL,litter,1,0,100
CPR,8.7,DRGL,litter,1,1.28,81.92
CPR,8.7,DRGL,litter,1,2.02,71.6
CPR,8.7,DRGL,litter,1,3.01,54.93
CPR,8.7,DRGL,litter,1,4,27.17
CPR,8.7,LITU,litter,1,0,100
CPR,8.7,LITU,litter,1,2.02,62.09
CPR,8.7,MYCE,litter,1,0,100
CPR,8.7,MYCE,litter,1,9.01,NA
CPR,8.7,PIEL,root,0.1,0,100
CPR,8.7,PIEL,root,0.1,1.28,87.54
CPR,8.7,PIEL,root,0.1,2.02,72.13
CPR,8.7,PIEL,root,0.1,3.01,69.79
CPR,8.7,PIEL,root,0.1,4,69.22
CPR,8.7,PIEL,root,0.1,5.03,68
CPR,8.7,PIEL,root,0.1,6,71.45
CPR,8.7,PIEL,root,0.1,6.36,71.61
CPR,8.7,PIEL,root,0.1,8.03,67.36
CPR,8.7,PIEL,root,0.1,10.03,66
CPR,8.7,PIRE,litter,1,0,100
CPR,8.7,PIRE,litter,1,1.28,94.74
CPR,8.7,PIRE,litter,1,2.02,84.81
CPR,8.7,PIRE,litter,1,3.01,73.7
CPR,8.7,PIRE,litter,1,4,44.26
CPR,8.7,PIST,litter,1,0,100
CPR,8.7,PIST,litter,1,3.01,65.19
CPR,8.7,PSME,litter,1,0,100
CPR,8.7,PSME,litter,1,4,10.52
CPR,8.7,QUPR,litter,1,0,100
CPR,8.7,QUPR,litter,1,1.28,86.87
CPR,8.7,QUPR,litter,1,2.02,78.03
CPR,8.7,QUPR,litter,1,3.01,74.59
CPR,8.7,QUPR,litter,1,4,31.09
CPR,8.7,RHMA,litter,1,0,100
CPR,8.7,RHMA,litter,1,1.28,95.95
CPR,8.7,RHMA,litter,1,2.02,83.71
CPR,8.7,RHMA,litter,7,0,100
CPR,8.7,RHMA,litter,7,1.28,95.34
CPR,8.7,RHMA,litter,7,2.02,103.2
CPR,8.7,THPL,litter,1,0,100
CPR,8.7,THPL,litter,1,1.28,95.63
CPR,8.7,THPL,litter,1,2.02,85.17
CPR,8.7,THPL,litter,1,3.01,80.1
CPR,8.7,THPL,litter,1,4,42.89
CPR,8.7,THPL,litter,1,6.36,73.45
CPR,8.7,TRAE,litter,1,0,100
CPR,8.7,TRAE,litter,1,1.28,88.6
CPR,8.7,TRAE,litter,1,2.02,82.63
CPR,8.7,TRAE,litter,1,3.01,70.27
CPR,8.7,TRAE,litter,1,4,34.97
CPR,8.7,TRAE,litter,7,0,100
CPR,8.7,TRAE,litter,7,1.28,80.42
CPR,8.7,TRAE,litter,7,2.02,73.04
KNZ,12.7,ACSA,litter,1,0,100
KNZ,12.7,ACSA,litter,1,1.04,80.52
KNZ,12.7,ACSA,litter,1,2.04,64.34
KNZ,12.7,ACSA,litter,1,3.06,55.85
KNZ,12.7,ACSA,litter,1,4.06,46.88
KNZ,12.7,ACSA,litter,1,5.08,43.61
KNZ,12.7,ACSA,litter,1,6.14,34.49
KNZ,12.7,ACSA,litter,1,7.1,33.25
KNZ,12.7,ACSA,litter,1,8.1,32.03
KNZ,12.7,ACSA,litter,1,9.13,31.57
KNZ,12.7,ANGE,root,0.1,0,100
KNZ,12.7,ANGE,root,0.1,1.04,32.74
KNZ,12.7,ANGE,root,0.1,2.04,27.67
KNZ,12.7,ANGE,root,0.1,3.06,23.55
KNZ,12.7,ANGE,root,0.1,4.06,28.14
KNZ,12.7,ANGE,root,0.1,5.08,21.06
KNZ,12.7,ANGE,root,0.1,6.13,26.51
KNZ,12.7,ANGE,root,0.1,7.1,5.49
KNZ,12.7,ANGE,root,0.1,8.11,7.59
KNZ,12.7,ANGE,root,0.1,9.13,10.13
KNZ,12.7,ANGE,litter,1,0,100
KNZ,12.7,ANGE,litter,1,3.06,46.18
KNZ,12.7,ANSC,litter,1,0,100
KNZ,12.7,ANSC,litter,1,9.13,23.13
KNZ,12.7,BOER,litter,1,0,100
KNZ,12.7,BOER,litter,1,6.15,25.44
KNZ,12.7,BOGR,litter,1,0,100
KNZ,12.7,BOGR,litter,1,4.06,22.5
KNZ,12.7,DRGL,root,0.1,0,100
KNZ,12.7,DRGL,root,0.1,1.04,34.53
KNZ,12.7,DRGL,root,0.1,2.04,45.24
KNZ,12.7,DRGL,root,0.1,3.06,20.22
KNZ,12.7,DRGL,root,0.1,4.06,25.07
KNZ,12.7,DRGL,root,0.1,7.09,19.87
KNZ,12.7,DRGL,root,0.1,8.1,24.37
KNZ,12.7,DRGL,root,0.1,9.13,21.96
KNZ,12.7,DRGL,litter,1,0,100
KNZ,12.7,DRGL,litter,1,1.04,20.27
KNZ,12.7,DRGL,litter,1,2.04,17.07
KNZ,12.7,DRGL,litter,1,3.06,16.86
KNZ,12.7,DRGL,litter,1,4.06,5.71
KNZ,12.7,DRGL,litter,1,6.15,15.1
KNZ,12.7,DRGL,litter,1,7.09,4.22
KNZ,12.7,DRGL,litter,1,8.1,5.37
KNZ,12.7,LITU,litter,1,0,100
KNZ,12.7,LITU,litter,1,1.04,75.07
KNZ,12.7,MYCE,litter,1,0,100
KNZ,12.7,MYCE,litter,1,2.04,72.09
KNZ,12.7,PIEL,root,0.1,0,100
KNZ,12.7,PIEL,root,0.1,1.04,78.3
KNZ,12.7,PIEL,root,0.1,2.04,72.74
KNZ,12.7,PIEL,root,0.1,3.06,73.31
KNZ,12.7,PIEL,root,0.1,4.06,63.73
KNZ,12.7,PIEL,root,0.1,5.09,60.5
KNZ,12.7,PIEL,root,0.1,6.15,50.55
KNZ,12.7,PIEL,root,0.1,7.11,51.66
KNZ,12.7,PIEL,root,0.1,8.11,41.64
KNZ,12.7,PIEL,root,0.1,9.12,33.18
KNZ,12.7,PIEL,litter,1,0,100
KNZ,12.7,PIEL,litter,1,5.08,65.91
KNZ,12.7,PIEL,litter,1,8.11,66.79
KNZ,12.7,PIRE,litter,1,0,100
KNZ,12.7,PIRE,litter,1,1.04,90.45
KNZ,12.7,PIRE,litter,1,2.04,82.38
KNZ,12.7,PIRE,litter,1,3.06,65.88
KNZ,12.7,PIRE,litter,1,4.06,55.87
KNZ,12.7,PIRE,litter,1,5.07,51.16
KNZ,12.7,PIRE,litter,1,6.15,49.49
KNZ,12.7,PIRE,litter,1,7.1,45.15
KNZ,12.7,PIRE,litter,1,8.11,46.33
KNZ,12.7,PIRE,litter,1,9.12,26.85
KNZ,12.7,PIST,litter,1,0,100
KNZ,12.7,PIST,litter,1,7.1,41.55
KNZ,12.7,QUPR,litter,1,0,100
KNZ,12.7,QUPR,litter,1,1.04,90.39
KNZ,12.7,QUPR,litter,1,2.04,82.55
KNZ,12.7,QUPR,litter,1,3.06,71.93
KNZ,12.7,QUPR,litter,1,4.06,61.15
KNZ,12.7,QUPR,litter,1,5.08,64.41
KNZ,12.7,QUPR,litter,1,6.14,55.99
KNZ,12.7,QUPR,litter,1,7.1,28.47
KNZ,12.7,QUPR,litter,1,8.11,54.36
KNZ,12.7,THPL,litter,1,0,100
KNZ,12.7,THPL,litter,1,1.04,90.16
KNZ,12.7,THPL,litter,1,2.04,86.58
KNZ,12.7,THPL,litter,1,3.06,75.1
KNZ,12.7,THPL,litter,1,4.07,72.05
KNZ,12.7,THPL,litter,1,5.08,62.71
KNZ,12.7,THPL,litter,1,6.14,60.67
KNZ,12.7,THPL,litter,1,7.09,56.2
KNZ,12.7,THPL,litter,1,8.11,55.87
KNZ,12.7,THPL,litter,1,9.13,47.14
KNZ,12.7,TRAE,litter,1,0,100
KNZ,12.7,TRAE,litter,1,1.04,81.29
KNZ,12.7,TRAE,litter,1,2.04,66.64
KNZ,12.7,TRAE,litter,1,3.06,48.67
KNZ,12.7,TRAE,litter,1,4.06,43.22
KNZ,12.7,TRAE,litter,1,5.08,35.07
KNZ,12.7,TRAE,litter,1,6.15,24.73
KNZ,12.7,TRAE,litter,1,7.09,23.62
KNZ,12.7,TRAE,litter,1,8.11,18.65
KNZ,12.7,TRAE,litter,1,9.13,19.04
VCR,14.2,ACSA,litter,1,0,100
VCR,14.2,ACSA,litter,1,1.02,30.33
VCR,14.2,ACSA,litter,1,2.01,17.98
VCR,14.2,ACSA,litter,1,3.06,20.63
VCR,14.2,ACSA,litter,1,4.04,NA
VCR,14.2,ACSA,litter,1,5.05,NA
VCR,14.2,ACSA,litter,1,6.02,NA
VCR,14.2,ACSA,litter,1,7.02,NA
VCR,14.2,AMBR,litter,1,0,100
VCR,14.2,AMBR,litter,1,5.05,NA
VCR,14.2,AMBR,litter,1,5.05,NA
VCR,14.2,ANGE,root,0.1,0,100
VCR,14.2,ANGE,root,0.1,1.02,59.29
VCR,14.2,ANGE,root,0.1,2.01,57.1
VCR,14.2,ANGE,root,0.1,3.06,47.47
VCR,14.2,ANGE,root,0.1,4.04,53.39
VCR,14.2,ANGE,root,0.1,5.05,48.36
VCR,14.2,ANGE,root,0.1,5.05,NA
VCR,14.2,ANGE,root,0.1,6.02,53.24
VCR,14.2,ANGE,root,0.1,7.02,51.67
VCR,14.2,ANGE,root,0.1,8,50.25
VCR,14.2,ANSC,litter,1,0,100
VCR,14.2,ANSC,litter,1,4.04,0.14
VCR,14.2,BOER,litter,1,0,100
VCR,14.2,BOER,litter,1,6.02,NA
VCR,14.2,CEGR,litter,1,0,100
VCR,14.2,CEGR,litter,1,3.06,5.99
VCR,14.2,CEGR,litter,1,6.02,NA
VCR,14.2,CONU,litter,1,0,100
VCR,14.2,CONU,litter,1,2.01,0.52
VCR,14.2,CONU,litter,1,5.05,NA
VCR,14.2,DRGL,root,0.1,0,100
VCR,14.2,DRGL,root,0.1,1.02,70.83
VCR,14.2,DRGL,root,0.1,2.01,71.94
VCR,14.2,DRGL,root,0.1,3.06,70.19
VCR,14.2,DRGL,root,0.1,4.04,64.92
VCR,14.2,DRGL,root,0.1,5.05,66.48
VCR,14.2,DRGL,root,0.1,5.05,NA
VCR,14.2,DRGL,root,0.1,6.02,48.54
VCR,14.2,DRGL,root,0.1,7.02,50.24
VCR,14.2,DRGL,root,0.1,8,50.09
VCR,14.2,DRGL,litter,1,0,100
VCR,14.2,DRGL,litter,1,1.02,26.02
VCR,14.2,DRGL,litter,1,2.01,5.59
VCR,14.2,DRGL,litter,1,3.06,4.67
VCR,14.2,DRGL,litter,1,5.05,NA
VCR,14.2,DRGL,litter,1,5.05,NA
VCR,14.2,DRGL,litter,1,6.02,NA
VCR,14.2,DRGL,litter,1,7.02,NA
VCR,14.2,LITU,litter,1,0,100
VCR,14.2,LITU,litter,1,3.06,12.74
VCR,14.2,PIEL,root,0.1,0,100
VCR,14.2,PIEL,root,0.1,1.02,71.47
VCR,14.2,PIEL,root,0.1,2.01,71.63
VCR,14.2,PIEL,root,0.1,3.06,68.19
VCR,14.2,PIEL,root,0.1,4.04,70.21
VCR,14.2,PIEL,root,0.1,5.05,71.59
VCR,14.2,PIEL,root,0.1,5.05,NA
VCR,14.2,PIEL,root,0.1,6.02,72.77
VCR,14.2,PIEL,root,0.1,7.02,61.36
VCR,14.2,PIEL,root,0.1,8,62.26
VCR,14.2,PIRE,litter,1,0,100
VCR,14.2,PIRE,litter,1,1.02,75.24
VCR,14.2,PIRE,litter,1,2.01,56
VCR,14.2,PIRE,litter,1,3.06,41.44
VCR,14.2,PIRE,litter,1,4.04,47.08
VCR,14.2,PIRE,litter,1,5.05,NA
VCR,14.2,PIRE,litter,1,6.02,NA
VCR,14.2,PIRE,litter,1,7.02,NA
VCR,14.2,PSME,litter,1,0,100
VCR,14.2,PSME,litter,1,1.02,38.81
VCR,14.2,QUPR,litter,1,0,100
VCR,14.2,QUPR,litter,1,1.02,59.32
VCR,14.2,QUPR,litter,1,2.01,32.48
VCR,14.2,QUPR,litter,1,3.06,29.87
VCR,14.2,QUPR,litter,1,5.05,NA
VCR,14.2,QUPR,litter,1,6.02,8.63
VCR,14.2,QUPR,litter,1,7.02,NA
VCR,14.2,SPAL,litter,1,0,100
VCR,14.2,SPAL,litter,1,1.02,21.06
VCR,14.2,SPAL,litter,1,6.02,NA
VCR,14.2,SPAL,litter,1,7.02,NA
VCR,14.2,THPL,litter,1,0,100
VCR,14.2,THPL,litter,1,1.02,72.52
VCR,14.2,THPL,litter,1,2.01,57.51
VCR,14.2,THPL,litter,1,3.06,41.19
VCR,14.2,THPL,litter,1,5.05,NA
VCR,14.2,THPL,litter,1,6.02,NA
VCR,14.2,THPL,litter,1,7.02,NA
VCR,14.2,TRAE,litter,1,0,100
VCR,14.2,TRAE,litter,1,1.02,39.59
VCR,14.2,TRAE,litter,1,2.01,25.47
VCR,14.2,TRAE,litter,1,3.06,37.77
VCR,14.2,TRAE,litter,1,4.04,NA
VCR,14.2,TRAE,litter,1,5.05,0.07
VCR,14.2,TRAE,litter,1,5.05,NA
VCR,14.2,TRAE,litter,1,5.05,NA
VCR,14.2,TRAE,litter,1,6.02,NA
VCR,14.2,TRAE,litter,1,7.02,NA
NIN,18,ACSA,litter,1,0,100
NIN,18,ACSA,litter,1,1.01,18.19
NIN,18,ACSA,litter,1,2.07,7.4
NIN,18,ACSA,litter,1,2.96,10.63
NIN,18,ACSA,litter,1,4.06,9.44
NIN,18,ACSA,litter,7,0,100
NIN,18,ACSA,litter,7,1.01,25.77
NIN,18,ACSA,litter,7,2.07,11.67
NIN,18,ANGE,root,0.1,0,100
NIN,18,ANGE,root,0.1,1.01,65.03
NIN,18,ANGE,root,0.1,2.07,57.99
NIN,18,ANGE,root,0.1,2.95,52.37
NIN,18,ANGE,root,0.1,4.06,54.79
NIN,18,ANGE,root,0.1,5.07,53.66
NIN,18,DRGL,root,0.1,0,100
NIN,18,DRGL,root,0.1,1.01,69.32
NIN,18,DRGL,root,0.1,2.07,60.29
NIN,18,DRGL,root,0.1,2.96,69.76
NIN,18,DRGL,root,0.1,4.06,51.48
NIN,18,DRGL,root,0.1,5.07,58.32
NIN,18,DRGL,litter,1,0,100
NIN,18,DRGL,litter,1,1.01,13.07
NIN,18,DRGL,litter,1,2.07,1.6
NIN,18,DRGL,litter,1,2.96,0.66
NIN,18,DRGL,litter,1,4.06,0.59
NIN,18,PIEL,root,0.1,0,100
NIN,18,PIEL,root,0.1,1.01,64.44
NIN,18,PIEL,root,0.1,2.07,65.37
NIN,18,PIEL,root,0.1,2.95,66.21
NIN,18,PIEL,root,0.1,4.06,54.27
NIN,18,PIEL,root,0.1,5.07,52.11
NIN,18,PIRE,litter,1,0,100
NIN,18,PIRE,litter,1,1.01,45.19
NIN,18,PIRE,litter,1,2.07,27.69
NIN,18,PIRE,litter,1,2.96,24.74
NIN,18,PIRE,litter,1,4.06,5.34
NIN,18,PIRE,litter,1,5.06,8.2
NIN,18,POTR,litter,1,0,100
NIN,18,POTR,litter,1,2.07,6.37
NIN,18,PSME,litter,1,0,100
NIN,18,PSME,litter,1,1.01,30.37
NIN,18,QUPR,litter,1,0,100
NIN,18,QUPR,litter,1,1.01,27.24
NIN,18,QUPR,litter,1,2.07,24.68
NIN,18,QUPR,litter,1,2.96,21.66
NIN,18,QUPR,litter,1,4.06,5.94
NIN,18,QUPR,litter,1,5.07,4.49
NIN,18,RHMA,litter,1,0,100
NIN,18,RHMA,litter,1,1.01,16.7
NIN,18,RHMA,litter,1,2.07,3.73
NIN,18,RHMA,litter,1,4.06,2.19
NIN,18,RHMA,litter,7,0,100
NIN,18,RHMA,litter,7,1.01,25.33
NIN,18,RHMA,litter,7,2.07,10.51
NIN,18,THPL,litter,1,0,100
NIN,18,THPL,litter,1,1.01,51.13
NIN,18,THPL,litter,1,2.07,26.04
NIN,18,THPL,litter,1,2.96,17.23
NIN,18,THPL,litter,1,4.06,9.98
NIN,18,THPL,litter,1,5.06,10.87
NIN,18,TRAE,litter,1,0,100
NIN,18,TRAE,litter,1,1.01,0.8
NIN,18,TRAE,litter,1,2.07,0.03
NIN,18,TRAE,litter,1,2.96,NA
NIN,18,TRAE,litter,1,4.06,NA
NIN,18,TRAE,litter,7,0,100
NIN,18,TRAE,litter,7,1.01,6.73
NIN,18,TRAE,litter,7,2.07,1.36
NIN,18,VOFE,litter,1,0,100
NIN,18,VOFE,litter,1,2.96,1.06
CWT,12.5,ACSA,litter,1,0,100
CWT,12.5,ACSA,litter,1,1,51.55
CWT,12.5,ACSA,litter,1,2.02,35.03
CWT,12.5,ACSA,litter,1,3.02,31.89
CWT,12.5,ACSA,litter,1,4.01,24.09
CWT,12.5,ACSA,litter,1,5.03,25.88
CWT,12.5,ACSA,litter,1,6.03,10.99
CWT,12.5,ACSA,litter,1,7.07,13.4
CWT,12.5,ACSA,litter,1,8.04,15.77
CWT,12.5,ACSA,litter,1,9.03,7
CWT,12.5,ACSA,litter,1,10.22,11.04
CWT,12.5,AMBR,litter,1,0,100
CWT,12.5,AMBR,litter,1,3.02,33.56
CWT,12.5,AMBR,litter,1,5.03,17.62
CWT,12.5,AMBR,litter,1,8.04,7.59
CWT,12.5,AMBR,litter,1,10.22,16.66
CWT,12.5,ANGE,root,0.1,0,100
CWT,12.5,ANGE,root,0.1,1,45.44
CWT,12.5,ANGE,root,0.1,2.02,38.72
CWT,12.5,ANGE,root,0.1,3.02,22.83
CWT,12.5,ANGE,root,0.1,4.01,19.14
CWT,12.5,ANGE,root,0.1,5.03,22.59
CWT,12.5,ANGE,root,0.1,6.03,12.39
CWT,12.5,ANGE,root,0.1,7.07,8.73
CWT,12.5,ANGE,root,0.1,8.04,7.1
CWT,12.5,ANGE,root,0.1,9.03,12.61
CWT,12.5,ANGE,root,0.1,10.22,11.6
CWT,12.5,ANGE,litter,1,0,100
CWT,12.5,ANGE,litter,1,1,59.24
CWT,12.5,ANGE,litter,1,4.01,32.87
CWT,12.5,ANGE,litter,1,5.03,25.72
CWT,12.5,ANGE,litter,1,6.03,16.79
CWT,12.5,ANGE,litter,1,9.03,17.89
CWT,12.5,BELU,litter,1,0,100
CWT,12.5,BELU,litter,1,2.02,21.61
CWT,12.5,BELU,litter,1,4.01,4.66
CWT,12.5,BELU,litter,1,10.22,2.2
CWT,12.5,DRGL,root,0.1,0,100
CWT,12.5,DRGL,root,0.1,1,52.3
CWT,12.5,DRGL,root,0.1,2.02,47.48
CWT,12.5,DRGL,root,0.1,3.02,41.39
CWT,12.5,DRGL,root,0.1,4.01,33.06
CWT,12.5,DRGL,root,0.1,5.03,18.34
CWT,12.5,DRGL,root,0.1,6.03,21.46
CWT,12.5,DRGL,root,0.1,7.07,15.36
CWT,12.5,DRGL,root,0.1,8.04,14.56
CWT,12.5,DRGL,root,0.1,9.03,20.9
CWT,12.5,DRGL,root,0.1,10.22,11.81
CWT,12.5,DRGL,litter,1,0,100
CWT,12.5,DRGL,litter,1,1,33.79
CWT,12.5,DRGL,litter,1,2.02,28.28
CWT,12.5,DRGL,litter,1,3.02,22.93
CWT,12.5,DRGL,litter,1,4.01,17.64
CWT,12.5,DRGL,litter,1,5.03,10.17
CWT,12.5,DRGL,litter,1,6.03,12.73
CWT,12.5,DRGL,litter,1,7.07,5.03
CWT,12.5,DRGL,litter,1,8.04,6.02
CWT,12.5,DRGL,litter,1,9.03,2.32
CWT,12.5,DRGL,litter,1,10.22,2.64
CWT,12.5,FAGR,litter,1,0,100
CWT,12.5,FAGR,litter,1,2.02,42.63
CWT,12.5,FAGR,litter,1,3.02,49.98
CWT,12.5,LATR,litter,1,0,100
CWT,12.5,LATR,litter,1,1,38.59
CWT,12.5,LATR,litter,1,4.01,24.36
CWT,12.5,LATR,litter,1,6.03,8.07
CWT,12.5,LATR,litter,1,7.07,9.06
CWT,12.5,PIEL,root,0.1,0,100
CWT,12.5,PIEL,root,0.1,1,74.64
CWT,12.5,PIEL,root,0.1,2.02,71.92
CWT,12.5,PIEL,root,0.1,3.02,60.86
CWT,12.5,PIEL,root,0.1,4.01,53.99
CWT,12.5,PIEL,root,0.1,5.03,57.68
CWT,12.5,PIEL,root,0.1,6.03,50.33
CWT,12.5,PIEL,root,0.1,7.07,45.56
CWT,12.5,PIEL,root,0.1,8.04,32.73
CWT,12.5,PIEL,root,0.1,9.03,42.24
CWT,12.5,PIEL,root,0.1,10.22,42.6
CWT,12.5,PIRE,litter,1,0,100
CWT,12.5,PIRE,litter,1,1,76.75
CWT,12.5,PIRE,litter,1,2.02,60.38
CWT,12.5,PIRE,litter,1,3.02,44.56
CWT,12.5,PIRE,litter,1,4.01,32.33
CWT,12.5,PIRE,litter,1,5.03,18.34
CWT,12.5,PIRE,litter,1,6.03,30.13
CWT,12.5,PIRE,litter,1,7.07,19.19
CWT,12.5,PIRE,litter,1,8.04,22.36
CWT,12.5,PIRE,litter,1,9.03,13.43
CWT,12.5,PIRE,litter,1,10.22,9.47
CWT,12.5,POTR,litter,1,0,100
CWT,12.5,POTR,litter,1,3.02,23.05
CWT,12.5,POTR,litter,1,7.07,8.9
CWT,12.5,POTR,litter,1,8.04,13.76
CWT,12.5,POTR,litter,1,9.03,6.81
CWT,12.5,PSME,litter,1,0,100
CWT,12.5,PSME,litter,1,1,76.76
CWT,12.5,PSME,litter,1,2.02,48.34
CWT,12.5,PSME,litter,1,3.02,40.39
CWT,12.5,QUPR,litter,1,0,100
CWT,12.5,QUPR,litter,1,1,56.81
CWT,12.5,QUPR,litter,1,2.02,40.53
CWT,12.5,QUPR,litter,1,3.02,40.56
CWT,12.5,QUPR,litter,1,4.01,26.67
